"","x"
"332","1. Kewirausahaan
Sebanyak 93% peserta menyebutkan pelatihan Prakerja dapat memberikan mereka cara dan strategi baru dalam membuka usaha, contohnya kelas membuat masker."
"333","Sayang banget kan udah dapat biaya pelatihan skill gratis senilai 1 juta rupiah tapi gak terpakai...yuk segera gunakan Saldo prakerja untuk ikuti pelatihan di Skill Academy. Jangan nanti-nanti kunjungi link ini untuk mengetahui cara ambil pelatihan nya https://t.co/kdD0k49qD8"
"334","REMINDER UNTUK PARA PENERIMA BANTUAN PRAKERJA; KESEMPURNAAN KAMU UNTUK PAKAI SALDO PRAKERJA KURANG DARI 1 BULAN LAGI

FYI kalo saldo prakerja kita akan hangus pada tanggal 15 Desember 2020 alias kurang dari sebulan lagi!!!

#infoprakerja #prakerja #gelombang11 https://t.co/wMF3IkmYmq"
"335","Kalau kamu bingung ingin ikut pelatihan apa, tenang aja. Berikut sudah saya rangkum 5 pelatihan favorit peserta Prakerja tahun ini! Kabar baiknya, dari masing-masing pelatihan favorit ini, tersedia lho kelas-kelasnya di Skill Academy dan tidak wajib ikut webinar. https://t.co/iEtNU8xSLh"
"336","Survei BPS: Program Kartu Prakerja tingkatkan keterampilan penerima https://t.co/401opysk9k"
"337","@semut____ Ikut prakerja gelombang yang keberapa sil?"
"338","PESERTA Kartu Prakerja Dipastikan Tak Akan Dapat Subsidi Gaji BLT Rp 1,2 Juta Termin Kedua
 
https://t.co/XocD3sHwSJ lewat @tribunpontianak"
"339","Dapat Rp 50 Ribu, Ikuti Survey Kartu Prakerja di Dashboard Prakerja https://t.co/IkhCKkSBqw

Download aplikasi Tribunnews untuk update berita terbaru

Dapatkan untuk Android: https://t.co/vVWLpleQXU

 https://t.co/cmX3xfHPCd"
"340","TERBARU Jadwal Kartu Prakerja Gelombang 12 Dibuka  https://t.co/8eSb3gorjo lewat @tribunpontianak"
"341","@niniesrina Kontribusi terbesar dlm tim adalah Bu @Almasjafrina dan Pak @egiyoga , saya bagian menyulut pertikaian saja. Selamat @sahabatICW menang gugatan sengketa informasi terkait Prakerja!"
"342","https://t.co/WAHZOb3mIE

Nahhhhhhhhhhhhhhhh

Survei Badan Pusat Statistik (BPS) menunjukkan mayoritas peserta Program Kartu Prakerja merasakan manfaat dari kepesertaannya di program tersebut."
"343","#BeritaEkon

Survei Angkatan Kerja Nasional (Sakernas) BPS 2020 Ungkap Program Kartu Prakerja Tingkatkan Keterampilan Kerja Penerima

https://t.co/ztDxwPi5ST

#SiapDariSekarang
#AmanProduktif 
#UntukEkonomiIndonesia https://t.co/Y8rSLHuX82"
"344","Setelah Program Kartu Prakerja dilakukan selama tujuh bulan, dia menyebutkan jumlah pendaftar sudah mencapai 43 juta orang.

Sangat diminati untuk meningkatkan kemampuan kerja. Sepertinya perlu dilanjutkan.
@PrakerjaId https://t.co/A8ncALE7SJ"
"345","@Kemenag_RI Apakah GTK NON PNS yg sudah dapat bantuan Prakerja masih bisa dapat BSG min ?"
"346","Katanya sih lulus hogwarts dapet kartu prakerja. https://t.co/NB6fUKOeQG"
"347","@PerekonomianRI hallo min siang, dimana ya data budget pembuatan website prakerja ?"
"348","Survei BPS: Mayoritas Peserta Akui Program Kartu Prakerja Tingkatkan Keterampilan https://t.co/ljOFJhXi8P"
"349","Ikut pelatihan prakerja yang gampang prosesnya,ga pakai ribet,sertifikat cepat keluar dan tentunya insentif ga pakai lama? 

Di mana lagi kalau bukan di STUDiLMU. Segera beli vouchernya di @tokopedia , @bukapalak , @pijarmahir.id dan ikuti pelatihannya melalui aplikasi STUDiLMU https://t.co/47CvTDnaQw"
"350","Dan segera daftarkan dengan menyertakan foto/screenshot sertifikat dari 2 vouchers pelatihan prakerja di STUDiLMU, ke telegram :
0813-1999-5750 
@Si_BingkaiMU

WALAU GRATIS, tapi TETAP BERKUALITAS
Karena Misi kami adalah Enlightening INDONESIA"
"351","Aplikasi STUDiLMU tersedia di Google Play store &amp; IOS App store, sehingga memudahkan kakak untuk belajar di mana pun dan kapan pun.

#STUDiLMU #BusinessGrowth #prakerja #programprakerja #kartuprakerja #pelatihanprakerja #inesntifprakerja"
"352","Aplikasi STUDiLMU tersedia dalam bentuk Aplikasi di Google Play store &amp; IOS App store, sehingga memudahkan kakak untuk belajar di mana pun dan kapan pun.

#STUDiLMU #prakerja #kartuprakerja #programprakerja #programkartuprakerja #STUDiLMUforBusiness #aplikasi #kepuasanpelanggan"
"353","Pelatihan Prakerja tanpa ribet?
Ikuti pelatihan kartu prakerja di STUDiLMU melalui aplikasi yang mudah digunakan dan ga perlu ribet lagi..!!

Beli voucher pelatihan STUDiLMU di mitra resmi @prakerja.go.id yang bisa kamu dapatkan di @tokopedia @bukalapak @pijarmahir.id"
"354","Kursus KEPUASAN PELANGGAN wajib Anda ikuti, untuk membangun dan mempertahankan pelanggan loyal Anda. 
Kursus ini bisa Anda dapatkan di @tokopedia, @bukalapak dan @pijarmahir.id

Bagi Anda, peserta program kartu prakerja, kursus terlaris ini bisa Anda beli dengan saldo prakerja."
"355","Selesaikan pelatihan prakerja sebelum 15 Desember 2020..!!

Apalagi jika ini pelatihan pertamamu,maka akan memengaruhi perolehan insentif prakerja kamu. https://t.co/rVwl876WHw"
"356","Jadi tunggu apalagi,segera ikuti pelatihan prakerja di STUDiLMU dengan membeli vouchernya di @tokopedia @bukalapak @pijarmahir.id lalu segera selesaikan sebelum 15 Desember 2020."
"357","Terakhir sih katanya pada ikutan prakerja https://t.co/S1atpq5rgU"
"358","Jika Pelatihan Prakerja Tak Selesai, Peserta Tak Dapat Insentif https://t.co/a2RhzxY6dD"
"359","@kopirasacokelat @dindaarlynie_ Gue ikut program prakerja juga tapi ga sampe bikin rekening begitu kayaknya. Kan bisa via OVO/LinkAja <U+0001F914>"
"360","Kartu Prakerja Dinilai Tak Mampu Redam Laju Pengangguran di Indonesia - https://t.co/dXAxUEf0Lq - https://t.co/dXAxUEf0Lq https://t.co/qa5F2DzqiC https://t.co/YOe6w9UsYB"
"361","@AREAJULID Nder, gapapa kali. Duit beasiswa kan bukan duit yg dikasi pemerintah buat bayar kuliahnya, sama aja kaya intensif prakerja gitu loh. Mau kamu pake buat apa aja juga bebas, yang dibeli juga bukan tersier. Kecuali kalo dia udh tajir mlintir dapet beasiswa terus hedon nah sabar aja."
"362","@ivanfarel gabisa pake kartu prakerja ndan"
"363","Temen temen yang ngeluh ga dapet bsu, diinget inget pernah ajuin kartu prakerja gak? Kl pernah dan lolos prakerjanya otomatis ga dapet bsu ya. #knowledgesharing"
"364","prakerja ini segmentasi pasar jatohnya ke orang yg butuh duit, bukan butuh skill buat masuk dunia kerja<U+0001F62B>"
"365","@BNICustomerCare saya mengikuti pelatihan prakerja. pada bulan pertama dana saya berhasil di terima melalui bank bni namun pada bulan kedua dan ketiga belum ada dana masuk ke dalam rekening saya padahal status insentif saya dana sudah berhasil ditransfer jadi bagaimana ya?"
"366","@BNICustomerCare kak saya ikut prakerja dan mendaftarkan rek bni saya sbg sumber penerimaan dana,pada bulan pertama dana berhasil masuk namun pada bulan ke2 &amp; ke3 dana berhasil di transfer tapi pada rek bni saya belum ada dana masuk,apakah ada yang salah dengan rek bni saya?"
"367","sebagai wirausaha perlintingan duniawi, saya mengharapkan prakerja saya turun jingann!! https://t.co/ojc53VMLNs"
"368","@sucibebe Iyess...des cutber tgl 24 DOANG !!!!! Kalo bgni daftar prakerja wae, ikut pelatihan ngerakit bom..hufhh <U+0001F624><U+0001F624><U+0001F624><U+0001F624>"
"369","@krocopesiar sido cok 
alhamdulilah dadi calo prakerja lumayan iki"
"370","Pendaftaran Kartu Prakerja Gelombang 12 Dibuka Tahun Depan
https://t.co/11aME1p8ra 
#pakaimasker #cucitangan #pilkada2020 #JagaJarak #kerjadarirumah #IndonesiaSehat #jagakesehatan #JalinPersatuan #dirumahaja #bersamalawancorona #IndonesiaLawanFPI #BubarkanFPI #BLT #TNIadalahKITA"
"371","@FTNKHRL Kartu prakerja bosong gak tau oleh"
"372","@jokowi Saya memilih bpk, tpi knpa bpk ga ngasih prakerja, dri glo 1 sampe 11 masih gagal;( mna balas budimu;("
"373","Resmi, Jadwal Pendaftaran Kartu Prakerja Gelombang 12, Ada Deadline 15 Desember, Cek https://t.co/75kYDeOBh4 https://t.co/OrcFETRGga https://t.co/71qRXR9rjq"
"374","instagram jadi shopee
shopee jadi website kartu prakerja"
"375","@masmasjawabgt Belum pernah dapet bang. 
Bahkan give away dari pemerintah gak dapet sama sekali. 
Prakerja, bpum, dll <U+0001F923>"
"376","@kopirasacokelat @dindaarlynie_ padahal mah prakerja bisa pake ovo/link aja<U+0001F62D>"
"377","@AREAJULID Apa bedanya dengan prakerja ?"
"378","lumayan prakerja tinggal nunggu cair. makasih pak jokowi <U+0001F60D>"
"379","Ini prakerja kapan buka lagi sih?"
"380","@BPJSTKinfo Penerima prakerja tidak disebutkan di kemnaker,sedabgkan di bpjstku ,disebutkan bahwa penerima kartu pra kerja ,tidak berhak mendapat blt .."
"381","@msaid_didu BTS,BLT,BPJS,PRAKERJA coba cek rekening bagi yg karyawan dpt subsidi ga? semoga ga kufur nikmat,jgn mau di adu domba sm org yg dl pernah menjabat tp ga py prestasi apa2.."
"382","@derrymaulanaa sampingan selain ngurusi prakerja e rencang2 sedoyo"
"383","@kompascom Program prakerja ini suka salah sasaran,yg butuh ga keterima,yang ga butuh² amat malah keterima .. temen gw yg kerja di transjaka*ta apply keterima,pdhal dh enak gaji gede harusnya yg bgni² ga butuh lg . Gliran gw pengangguran apply ampe ubanan ditolak terus"
"384","@BPJSTKinfo selamat malam min mau tany untuk blt tahap 1-2 kenapa sya tidak dapat ya?Pdhl perusahaan sudah mendaftarkan saya di karti prakerja dan sbgian teman dapat sampai blt skrg. Mohon petunjuknya min. Trmksh"
"385","@BPJSTKinfo Setau saya ata nik,bawah kartu no prakerja, dan bawah tgl aktif peserta. Semua sesuai syarat, untuk no rekening yang didaftarkan saya tidak bisa cek dipengaturan dll tidak ada options terimakasih. Mohon bantuannya https://t.co/P3xYz01ggk"
"386","@SabilAdam Aguero memutuskan untuk dagang ketoprak setelah melihat update ini. Dan Pep lebih memilih ndftr kartu prakerja"
"387","Halo gais, yang mau beli pelatihan di Skill Academy (khusus yang Non Prakerja) boleh banget dm aku yaa untuk bisa dapet skill tambahan<U+0001F601><U+0001F601>"
"388","Hai gaiss yang mau beli pelatihan di Skill Academy (khusus yang NON PRAKERJA) boleh banget dm aku yaa untuk dapet diskon tambahan<U+0001F601><U+0001F601>"
"389","@kopirasacokelat @dindaarlynie_ Mana ada bayar mba bkin rekening prakerja ga pake deposit alias gratis"
"390","@DukeCondet @jokowi Bangun dr tidur kayanye <U+0001F602> ngutang buat ngempanin rakyat (bansos, prakerja, bantuan bpjs naker, umkm).. trus bayar bunga utangnye, bpjs kesehatan, listrik, tol dinaekin dah..imbasnye bahan pokok semua naek..yg miskin makin melarat.. <U+0001F61D> sialan banget dah"
"391","Semua sektor goyang, sebagian orang sekarang bekerja sebagai pedagang, prakerja salah sasaran, resesi kepanjangan akan terus terjadi. Solusinya kurangi berbelanja berlebih atau yg kurang penting. Sekian trims"
"392","Aq sebagai tenaga pendidik gigit jari saja 
 BSU ndk sapat coba pra kerja ndk lulus dr gel 1-10 Bpjs Ketenaga kerjaan ndk dapat <U+0001F923><U+0001F923> padhal ada yg  dpaat prakerja  dapat BSu diurus semua cairr semua dapag lagi BPJS Keyenaga kerjaan Double <U+0001F923><U+0001F923>"
"393","@BPJSTKinfo Benar, waktu itu mmg sy pernah daftar dan ikut pelatihan tapi tidak sy selesaikan yg mana artinya sy tidak menerima dana dr kartu prakerja itu sendiri kak. Dan itu sudah lama sudah sekitar 2/3 bulan yg lalu tidak sy selesaikan"
"394","@BPJSTKinfo Poin 1-4 itu udah dari perusahaan kan biasanya yg urus. Yg poin 5 : 3bln yg lalu sy mmg sempat dftr dan ikut pelatihan kartu prakerja tp tdk sy teruskan dan tdk pernah menerima dana dr prakerja tsb"
"395","@BPJSTKinfo Sedangkan byk org yang sudah menerima  dana dari prakerja tapi masih dpt jg BLT itu kenapa ya ?"
"396","@kopirasacokelat @dindaarlynie_ bikin rekening bni prakerja ga pake saldo awal ka<U+0001F62D>"
"397","dari kmrn dftr kartu prakerja sampe 4 kl gk bs terus. sampe gelombang 11 ditutup ini cb dftr lg ttp gk bs. gk bisanya tuh krn gl dapet email verifikasi sma sekali<U+0001F62D>. emailku jdi banyak bgt buat dftr tpi tetep aja gk dpet email verifikasi"
"398","miris dngar kabar ibu2 bapa2 tetangga yg dibodohi sm org yg ngejoki prakerja<U+2639><U+FE0F>"
"399","@BNI pak, blt prakerja untuk sultra via bank bni kapan cair y?"
"400","@kopirasacokelat @dindaarlynie_ dan prakerja tu cair nya lancar kok,sesuai dgn tanggal yg di jadwalin,boong tu si jahanam<U+0001F62D><U+0001F62D>"
"401","@kopirasacokelat @dindaarlynie_ maaf ya tp ak bikin rekening buat prakerja di bni gratis kok<U+0001F44D>"
"402","pada daftar prakerja kena dampak resesi https://t.co/ecO3RlS9Ku"
"403","@brdosaa @dindaarlynie_ wah beneran ? diboongin dong gw.
pdhal dia minjem 250, dan smpe skrg pun bilangnya tu prakerja blm cair"
"404","@dindaarlynie_ punya nih yg modelan gni, dia nganggur gw masi kuliah. wktu itu oke masi gw terima ya karna mngkn blm ada rejekinya dpt krjaan. dia nongkrong gw yg ngasi duit, bhkan kuota pun gw beliin. trs terakhir dia minjem buat bkin rekening bni krna dia lolos prakerja-, https://t.co/cFzXd6oU05"
"405","@kopirasacokelat @dindaarlynie_ kak buat rekening bni prakerja bukannya bisa gapake saldo awal<U+0001F914>"
"406","Kerja <U+274C>
Kerja <U+274C>
Kerja <U+274C>
Prakerja <U+2714><U+FE0F> https://t.co/OwWslyMVHt"
"407","Survei Evaluasi 3 Program Kartu Prakerja Sudah Dibuka! https://t.co/z20aGrTNnI"
"408","@syanazmanis Kereeenn ya presiden Jokowi membangun infrastruktur, sambil dikebut SDMnya melalui kartu prakerja..
Met pagi mbak Syanaz... https://t.co/7qvkmYcT3A"
"409","Anarko ko bikin prakerja hahaha"
"410","@maherzamhuri 2x prakerja cair, udah bisa tu. Malah ada kembalian"
"411","@Adri4n70 @Adri4n70 Malam, Sahabat. Terima kasih atas data yang di informasikan, kami bantu pengecekan belum memenuhi kriteria sebagai penerima BSU dikarenakan sudah terdaftar diprogram prakerja."
"412","@nana_merak @nana_merak Malam, Sahabat. Terima kasih atas data yang di informasikan, kami bantu pengecekan belum memenuhi kriteria sebagai penerima BSU, dikarenakan sudah terdaftar diprogram prakerja. Berikut kami informasikan persyaratan calon penerima BSU;"
"413","@NikiArdiansyah4 @NikiArdiansyah4 Pagi, Sahabat. Terima kasih atas data yang di informasikan, kami bantu pengecekan belum memenuhi kriteria sebagai penerima BSU, dikarenakan sudah terdaftar diprogram prakerja."
"414","@widiyahendra24 @widiyahendra24 Pagi, Sahabat. Setelah kami cek sahabat sudah terdaftar sebagai penerima kartu prakerja. -Ruhi"
"415","@Adri4n70 @Adri4n70 Pagi, Sahabat. Mohon maaf atas ketidaknyamanannya. Terima kasih atas informasi data yang diberikan. Setelah kami bantu pengecekan belum memenuhi kriteria sebagai penerima BSU karena sudah terdaftar pada program prakerja. -Angga"
"416","@anggitarsma @anggitarsma Siang, Sahabat. Kami konfirmasi kembali, apakah terdaftar program bantuan prakerja? -Ziah"
"417","@Adri4n70 Malam, Sahabat. Terima kasih atas data yang di informasikan, kami bantu pengecekan belum memenuhi kriteria sebagai penerima BSU dikarenakan sudah terdaftar diprogram prakerja.Berikut kami informasikan persyaratan calon penerima BSU;
1. Peserta aktif minimal sampai bulan Juni 2020"
"418","@okidokii29 @okidokii29 Terima kasih untuk data yang diberikan, setelah dicek sahabat telah terdaftar sebagai penerima kartu prakerja. -Vey"
"419","@IamMaudy @IamMaudy Selamat sore, Sahabat. Perihal belum menerima BSU, setelah dicek sahabat terdaftar sebagai penerima kartu prakerja. -Vey"
"420","@NikiArdiansyah4 Pagi, Sahabat. Terima kasih atas data yang di informasikan kami bantu pengecekan belum memenuhi kriteria sebagai penerima BSU, dikarenakan sudah terdaftar diprogram prakerja. Berikut kami informasikan persyaratan calon penerima BSU;
1. Peserta aktif minimal sampai bulan Juni 2020"
"421","@worksfess hehhe jd panjang. sekalian curhat. soalnya aku lg di fase itu. gaada support system. pemasukan cuma ngandelin dr prakerja dan bakal habis di bln Jan. klu lewat dr Jan belum dapet jg, gatau bakal dpt pemasukan dr mana. jadi yuk semangat nder. aku tau kamu pasti kuat. wipe ur tears"
"422","@worksfess ga nder. kalau mau keluar doang itupun dikit cuma bisa beli teci 5 sama nutrisari. tp masih aada uang prakerja."
"423","@VaksinUntukKita kaya buzzer prakerja <U+0001F604>"
"424","Alokasi dana prakerja yg tepat . 
Thx xob @Prakoso_hanjar https://t.co/yAhQAsesfE"
"425","Tgl tua ngarepin dana prakerja yg 50ribu mlh gaturun²:(("
"426","@Raviputuu ngantri kartu prakerja"
"427","@windatristianti prakerja, kpps, gaji bulanan hahaha"
"428","@faizsadad_ @sakhansaaa Kalah sabetannya kartu prakerja"
"429","Bukannya iri apa gmn, cm kasian aja sama yg daftar prakerja bener2 butuh tp dia gadpt2."
"430","Temen gua udah kerja gaji 4jtan, udah dpt blt juga, masih aja daftar prakerja gila."
"431","@firmansyahnu Jadi pengen lolos pendaftaran prakerja:("
"432","live 8+ jam Youtube @_mardial_ &gt; pelatihan prakerja"
"433","@coffebit @_mardial_ Yutubnye kayak pelatihan di prakerja"
"434","Dulur2ku oleh duwek prakerja ambek umkm langsung gawe dp sepeda, alhamdulillah onok corona sepedae tambah anyar-anyar <U+0001F605>"
"435","<U+2705> Z****s, Q****r, dan sejenisnya aja juga online kaaan. program prakerja? juga pelatihannya online juga kaan<U+0001F601> kalo soal efektif ngga efektif sih yah, balik lg tergantung komitmen dan niat belajarmu gimana. mau online atau offline sama aja kok<U+0001F4DD>"
"436","[Bukan Program Kartu Prakerja]
Hai, Kamu!

Pada setiap keyakinan, tentu memiliki aturan sebagai arah dalam menjalani kehidupan sehari-hari. https://t.co/CKdFLfBhYd"
"437","[Bukan Program Kartu Prakerja]
Hai, Kamu!

""Apa arti dan tujuan hidupmu?""

Terkadang pertanyaan tersebut terlintas saat Kamu beristirahat sejenak dari penatnya aktivitas sehari-hari ya. https://t.co/WtMcvPMZxq"
"438","[Bukan Program Kartu Prakerja]
Hai, Kamu!

Pernahkah suatu hari Kamu berpikir..
""Apakah diriku sudah benar-benar memahami Islam yang selama ini aku anut dengan baik?""

Yuk, bergabung dalam program Islam for Beginner dari https://t.co/ewJXvSr9lL di https://t.co/7QZ87Ip2sU! https://t.co/Q2Ss2LpiRn"
"439","Caranya mudah, ikuti program favorit di https://t.co/7QZ87I7r4k, lalu berikan testimoni terbaik Kamu.<U+0001F60A>

Ayo, segera dapatkan hadiah menarik senilai jutaan rupiah melalui:
https://t.co/zq56iWKSHw

#sekolahmu #prakerja #doorprize #modalusaha #sekolahmumasadepanmu"
"440","https://t.co/7QZ87I7r4k dan Prakerja akan melaksanakan Live Instagram untuk membahas lebih lanjut tentang Skill Cuan di Tahun 2021. Bagi Kamu yang tertarik, pastikan untuk mengunjungi Instagram @sekolahmuprakerja tepat waktu ya."
"441","[Bukan Program Kartu Prakerja]
Hai, Kamu!

Pendaftaran pengajian online Islam for Beginner diperpanjang hingga 3 Desember 2020, lho!<U+0001F64C> https://t.co/cq5nnQUXgB"
"442","https://t.co/7QZ87Ip2sU dan Prakerja akan melaksanakan Live Instagram untuk membahas lebih lanjut tentang Skill Cuan di Tahun 2021. Bagi Kamu yang tertarik, pastikan untuk mengunjungi Instagram @sekolahmuprakerja tepat waktu ya.

#sekolahmu #prakerja #siapkerja #siapdarisekarang"
"443","Hai, Kamu!

Yuk, segera manfaatkan sisa saldo kartu Prakerja Kamu di https://t.co/7QZ87I7r4k!<U+0001F64C>

Selain menambah skill, Kamu juga bisa mendapatkan hadiah menarik dari Voucher Pulsa hingga Modal Usaha dari program Prakerja https://t.co/7QZ87I7r4k, lho!<U+2728> https://t.co/lcEH4L0kLK"
"444","Yuk, bergabung di pelatihan Prakerja terbaik dan berkualitas hanya di https://t.co/7QZ87I7r4k Prakerja.

Kunjungi pelatihannya di https://t.co/Tr8BvNBAa4 atau Aplikasi https://t.co/7QZ87I7r4k ya!

#sekolahmu #prakerja #siapkerja #siapdarisekarang #masadepan #kelasonline"
"445","@worksfess Course dr prakerja"
"446","@mas_syaa @worksfess 'menjual' kah sertifikasi dari prakerja??"
"447","@F20cent @7nagaO3MT3 @aniesbaswedan Dan kau kerjamu apa? Penerimah upah prakerja jokowi?"
"448","@tokopedia Bayar BPJS &amp; PLN, beli kuota &amp; pulsa, dan beli kelas prakerja selalu di Tokopedia dong.
Selain praktis, harganya juga emang lebih miring. Oiya yang pasti dapet cashback OVO dong yang mana cashbacknya tuh bisa buat beli pulsa lagi. Jadi double deh untungnya.
#TokopehadiahMinggu"
"449","@duniadiny Setiap lapis masyarakat dari menengah ke bawah sudah diberikan bantuan untuk bertahan, kak. Misalnya bansos untuk masyarakat miskin, kartu prakerja buat yang baru kena PHK, subsidi gaji buat pekerja yang punya gaji di bawah Rp 5 juta, hibah UMKM, dll. Tinggal eksekusi lapangan."
"450","@sipaulia @worksfess Kalau gk salah di prakerja ada deh"
"451","Kartu prakerja sampai skrg blm dpt, apalagi BLT pekerja karena saya tdk masuk BPJS ketenagakerjaan. BPJS kesehatan aj tk pernah bayar lg, nasebmu nas...
@sandiuno
@hotmanParis"
"452","Program kartu prakerja apakah masih ada gelombang ke-12, sampai skrg blm dpt nich @jokowi
#jokowi
#pemerintahanri"
"453","Jadi pengangguran dari awal quarantine Sampai sekarang makin bosen ga punya duit jualan online ga laku abis modal buat iklan, cari kerja di deket rumah juga ada <U+0001F62D> ikut prakerja juga ga lolos, cari kegiatan apalagi ya? Gue mati bosen"
"454","skill academy wa dpt pulsa 30gb buat akses sa, mending munculin dulu sertifikat di dashboard prakerja daripada ngasih pulsa<U+0001F602><U+0001F602><U+0001F602>"
"455","@rinasoetarti @putriwln04 @KemnakerRI @idafauziyah Senasib. Data valid, ga ikut prakerja tp ga cair :("
"456","Penghasilan seko kertu prakerja wae sok²an selingkuh <U+0001F62A>"
"457","Daripada buat program prakerja yang pendaftarnya banyak tipu2 kenapa ga beresin warga yang kelaparan https://t.co/05CW7EMRVv"
"458","@tempikasarii Belum turun duit prakerja gua jg <U+0001F62D>"
"459","Pelatihan Keterampilan, Bantuan Usaha Dan Penyaluran Kerja bagi Warga Prakerja dan Kurang Mampu

#IdrisImamDepok
#MajuBerbudayaSejahtera
#Lanjutkan
#BangunDepokBersama
#KartuDepokSejahtera https://t.co/HTY2yFjgkW"
"460","@setkabgoid @KemensosRI Mekanisme system yang dilakukan pihak Prakerja Menurut saya perlu dicontoh dari proses pendaftaran secara online, diterimanya data, sampai pada jadwal penyaluran dana bantuan bisa dimonitoring secara langsung, dan dana di proses transfer lebih aman nyaman agar terhindar covid-19"
"461","@unsrifess Daftarnyo disini https://t.co/y3fXDFI3Jz"
"462","@idtodayco Ngak punya kerja pak??Daftar prakerja aja pak !!"
"463","Bagi yang ingin berkarir di industri pangan, ada keahlian yang harus kamu pelajari untuk meningkatkan pengetahuan kamu dibidang keamanan pangan. Kamu sudah menguasai keahlian tersebut?

#PraKerja #KeamananPangan #HACCP #SJH #ISO22000  #SSOP #Perikanan #Ikan #Mahasiswa https://t.co/Zvfswp8R4W"
"464","@sherpa701 @PakattDayak @nkcafemalang Aahhhh ya ampunnn smga msuk deh hikssss kuotaku abis untuk pelatihan prakerja smga dhe yaaa om<U+0001F62D><U+0001F64F><U+0001F3FB>
Btw lancar trusss om<U+0001F64F><U+0001F3FB><U+0001F64F><U+0001F3FB><U+0001F64F><U+0001F3FB>"
"465","@Kartolewo2 @AntiBuzzeRp Dapet jatah prakerja gak tuh"
"466","@altbaseNsfw Ntar ajalah. Prakerja gua belom turun lagi, besanan pake apaan?"
"467","@Alter24Hour Jangan bilang dari prakerja lu warisin ke cewek lu"
"468","@niyc0tine engga prah sama ko pas ngeliat ktp temen yang di acc prakerja sama aja dr bentuk warna gak ada kebedaan ataupun keciri palsu"
"469","Sejak diluncurkan Maret 2020, Program Kartu Prakerja menjadi kebijakan terobosan pemerintah untuk meningkatkan kualitas sumber daya manusia (SDM) di Indonesia. https://t.co/JavYVkqCcA"
"470","Program Kartu Prakerja merupakan inovasi dalam pengembangan SDM unggul karena sepenuhnya memanfaatkan teknologi digital.

#PerekonomianMaju #EkonomiIndonesia #IndonesiaMaju #PEN #CiptaKerja #KitaButuhCiptaKerja #Prakerja #SiapDariSekarang https://t.co/JivwN6Wp83"
"471","@AntiBuzzeRp Kayanya kaga dapat fasilitas KIK KUK Kartu Prakerja sembako dsbnx<U+0001F60A><U+263A><U+0001F602><U+0001F923>"
"472","@jokowi Assalamualaikum pak presiden yang terhormat cuma mau tanya apa di semua anak buah bapak gak ada satupun yang memperhatikan cuitan tentang program bapak dari bsu prakerja dan lain""?"
"473","@TokopediaCare sertifikat di akun skill academy sy sdh muncul tpi di dashboard prakerja blm muncul dan status pelatihan sy di dashboard msih aktif pdhl sdh selesai. Mohon bantuannya utk kendala ini"
"474","@mahmud_lima @LisaAmartatara3 @Mr_cosanostra Ketika Kartu Prakerja belum cair<U+0001F602><U+0001F602><U+0001F923>yah beginilah cari makannya"
"475","@raje_bintang @Karolina_bee11 @felixsiauw Subsidi BBM premium dan solar masih ada tuh ga dicabut, listrik malah gratis yg 450wh dan diskon buat 900wh. Impor udah jarang sampe pertanian surplus di saat bidang lain resesi. Kartu prakerja udah dilaksanakan. Hanya kadrun aja yg ga bisa terima semua kebijakan Jokowi."
"476","Prakerja kok paham bener ekonomi w skrg<U+0001F97A> terharuuuu"
"477","@aditianra Enggak,nunggu dana prakerja cair <U+0001F606><U+0001F606>"
"478","@FetyCsl @Herahelissa Sponsor by prakerja <U+0001F605><U+0001F605>"
"479","Sumpah dah kalo prakerja lolos w udah beli $trx sekarang"
"480","feeling gua trx bakal terusan naek sampe 600, anjir lah dari awal bulan w udah prediksi <U+0001F97A> garagara gak lolos prakerja jadi gak bisa beli https://t.co/Ha7tl7DRJP"
"481","@BPJSTKinfo
Berhubung banyaknya pekerja yang belum dapat BSU termin 2, apakah ada Site/Aps yang menunjukkan Kalau dana BSU peserta tersebut masih ON PROSES, atau memang tidak mendapat BSU, ambil contoh: PROGRAM Kartu Prakerja, USER bisa mencek status Insentif yang akan dia terima"
"482","@Kemdikbud_RI @nadiemmakarim Assalamualaikum pak
Kenapa guru honorer yg sudah terdaftar di prakerja tidak dapat intensif BSU guru honorer..
Sedangkan orang yg dapat intensif UMKM, Intensif BLT kok bisa dapat intensif BSU guru honorer..
Rasanya tidak adil nih pak Mentri
Terimakasih pak Mentri <U+0001F64F><U+0001F64F>"
"483","@chyntyajp Hai, Kak chyntya. Mohon maaf mengenai kendala yang kamu alami, kami informasikan  untuk data-data LinkAja dengan Prakerja kamu harus sesuai ya Kak :) Terima kasih -Rby #LengkapnyaUntukSemua"
"484","@SimbahCocol @linkaja @KlinikTech Hallo ka mau tanya ,saya juga beda nama akun link aja sm prakerja , menurut pengalaman kaka cair tidak ?"
"485","@OdedMD perhatikan radius 3-5 KM dari aLun2, bansos di keLurahan Burangrang gak adiL, apaLagi dana prakerja <U+0001F602> ada warga miskin yg gak punya sepeda motor gak pernah dpt bansos covid19 <U+0001F923>"
"486","Akun prakerja sampe ditangguhkan

Saking banyak komplain netizen? https://t.co/jphTFw4MQU"
"487","@worksfess Coba prakerja dulu aja yok sambil cari job freelance di sribulancer"
