"text","total","positive","negative","score","label"
"sertifikat belum muncul dashboard prakerja sudah selesai latih isi ulas tanggal nop",1,0,1,-1,"Negatif"
"siar pers icw menang sengketa informasi janji kerja program prakerja dokumen publik lengkap",4,3,1,2,"Positif"
"program prakerja masuk grup telegram cari jodoh locals banget sange sih",0,0,0,0,"Netral"
"icw menang kemenko ekonomi harus buka informasi dokumen prakerja",1,1,0,1,"Positif"
"total terima kartu prakerja capai belum",2,1,1,0,"Netral"
"kartu prakerja gelombang buka",0,0,0,0,"Netral"
"kemenkeu catat realisasi program kartu prakerja capai",1,1,0,1,"Positif"
"kartu prakerja lanjut terima program tidak",2,1,1,0,"Netral"
"prakerja gelombang gas survey sertifnya sudah belum",1,0,1,-1,"Negatif"
"sudah coba belum terang kuliah tidak lebih kurang tau prakerja",5,2,3,-1,"Negatif"
"bantu pemerintah lewat kartu prakerja gelombang buka nih bocor",1,0,1,-1,"Negatif"
"kartu prakerja tidak batas daftar",1,0,1,-1,"Negatif"
"pacar sudah kota pakai rapot merah rezim orde baru lebih baik segi tubuh manusia tidak tuju prakerja terimakasih kunjung selamat belanja laku aktifitas cari harga produk opo kae",6,5,1,4,"Positif"
"kak termin belum cair kak data valid gaji bawah aktif kepersertaan tidak dana prakerja tidak cair termin bsu nya",6,2,4,-2,"Negatif"
"daftar kartu prakerja gelombang buka",0,0,0,0,"Netral"
"buka minat kartu prakerja capai orang",0,0,0,0,"Netral"
"by the way orang kerja tidak pecat gaji tidak kurang baik hidup santai nikmat duit prakerja beli kemeja celana sepatu tidak salah sasar kah prakerja",9,3,6,-3,"Negatif"
"program kartu prakerja lanjut",0,0,0,0,"Netral"
"tidak blt bpjs ketenagakerjaan sudah daftar kartu prakerja",1,0,1,-1,"Negatif"
"hala hala protes pajak belikan masker swab kerumun harus pas pajak mu bikin prakerja video nya youtube",1,0,1,-1,"Negatif"
"teman ngeshare link prakerja gc kelas coba suruh share linknya gc pribadi nyata linknya tipu data ambil sudah masuk nomor data tolol banget share link nya kali",2,0,2,-2,"Negatif"
"lsp prakerja",0,0,0,0,"Netral"
"bikin cs prakerja komplain tidak csnya tidak buzzer",4,0,4,-4,"Negatif"
"coba cari ketik prakerja pilih dashboard prakerja akun",0,0,0,0,"Netral"
"minggu uang tinggal ribu dompet rekening kosong harap insentif prakerja tidak cair serah tuhan esok prakerja cair sambung hidup serba pas",7,4,3,1,"Positif"
"prakerja orang kantor mahasiswa ajar kurang sasar",1,0,1,-1,"Negatif"
"tidak pakai kartu prakerja",1,0,1,-1,"Negatif"
"tidak web pemerintah beda urlnya sudah kalo google diarahin",1,0,1,-1,"Negatif"
"fungsi logo lonceng dashboard prakerja",0,0,0,0,"Netral"
"cek prakerja asli prakerja",1,1,0,1,"Positif"
"selalu gagal kirim survey evaluasi prakerja solusi",1,0,1,-1,"Negatif"
"prakerja gelombang buka cek info",0,0,0,0,"Netral"
"latih prakerja gelar offline",0,0,0,0,"Netral"
"arti status insentif prakerja",1,1,0,1,"Positif"
"prakerja komplain moeldoko tidak komplain",3,0,3,-3,"Negatif"
"halo kak indah kakak sudah cek mutasi rekening tidak kakak bis konfirmasi prakerja nomor kak tks adel",2,1,1,0,"Netral"
"hai kak cari dana sila kakak cabang bni suai sms bawa e ktp bukti sukses buka rekening bukti kepemilikan akun prakerja kak tks nardo",1,1,0,1,"Positif"
"halo kakak mohon maaf kendala kait sar kakak hubung unit prakerja nomor tks shalimar",1,1,0,1,"Positif"
"terima manfaat kartu prakerja tembus orang",2,2,0,2,"Positif"
"ribu terima kartu prakerja rancam insentif",2,2,0,2,"Positif"
"survei bps persen terima kartu prakerja manfaat",2,2,0,2,"Positif"
"pemerintah sinyal program kartu prakerja gelar offline",0,0,0,0,"Netral"
"insentif hangus latih kartu prakerja selesai desember",1,1,0,1,"Positif"
"serbu daftar bps beber daya tarik utama kartu prakerja",2,2,0,2,"Positif"
"manfaat kartu prakerja wajib",1,1,0,1,"Positif"
"kumpul informasi hoaks putar kartu prakerja",0,0,0,0,"Netral"
"mayoritas terima kartu prakerja puas pemerintah",3,2,1,1,"Positif"
"seperempat duduk usia produktif indonesia daftar kartu prakerja",1,1,0,1,"Positif"
"ingin ribu ayo survei evaluasi kartu prakerja",0,0,0,0,"Netral"
"pakai duit prakerja nongkrong circle kak",0,0,0,0,"Netral"
"min kalo terima kartu prakerja sudah tidak terima bsu ybs daftar bpjs kerja terima upah",5,4,1,3,"Positif"
"jadwal daftar prakerja gelombang belum pemerintah beritahukan publik baru lengkap nya",2,0,2,-2,"Negatif"
"gambar lonceng dashboard akun prakerja ramai warganet bincang media sosial fungsi lengkap nya",3,1,2,-1,"Negatif"
"daftar prakerja gelombang simak solusi lolos program kartu prakerja lengkap nya",2,1,1,0,"Netral"
"siang min kalo ambil dana program prakerja sudah daftar nomor rek virtual",0,0,0,0,"Netral"
"min sertifikat sudah minggu cuma belum masuk situs prakerja tolong bantu",2,1,1,0,"Netral"
"pandemi hadap situasi sulit bekal kurang logistik berik lebih",5,2,3,-1,"Negatif"
"survei badan pusat statistik bps mayoritas terima kartu prakerja pulau jawa",2,2,0,2,"Positif"
"survei badan pusat statistik bps mayoritas program kartu prakerja manfaat kepesertaannya program",1,1,0,1,"Positif"
"program kartu prakerja lanjut",0,0,0,0,"Netral"
"prakerja sudah terima tidak program",2,1,1,0,"Netral"
"luncur april latih online program kartu prakerja kerap kritik kalangan",1,0,1,-1,"Negatif"
"bohong benar cuma",2,1,1,0,"Netral"
"sandiaga uno ajar kelas kewirausahaan kartu prakerja",0,0,0,0,"Netral"
"prakerja komplain moeldoko tidak komplain",3,0,3,-3,"Negatif"
"badan pusat statistik bps lapor persen program kartu prakerja ingin tingkat ahli skill",2,2,0,2,"Positif"
"daftar kartu prakerja gelombang buka",0,0,0,0,"Netral"
"direktur eksekutif manajemen laksana pmo kartu prakerja denni puspa purbasari provinsi jabar alokasi kuota ribu",0,0,0,0,"Netral"
"program program bantu sosial bansos pemerintah blt subsidi gaji kartu prakerja belum salur sasar",4,3,1,2,"Positif"
"program kartu prakerja berik insentif ribu lama belum putus",4,1,3,-2,"Negatif"
"kartu prakerja lanjut",0,0,0,0,"Netral"
"tenang nganggur dana prakerja bunyi tidak",2,1,1,0,"Netral"
"total daftar kartu prakerja orang lolos verifikasi",1,1,0,1,"Positif"
"jadwal cair duit prakerja tipu tipu cok lewat minimal lama baru cair",6,2,4,-2,"Negatif"
"kalo prakerja sudah opsi via ewallet mas sok far netijen aman",2,1,1,0,"Netral"
"daftar prakerja",0,0,0,0,"Netral"
"info baru kartu prakerja gelombang bukan daftar login via",0,0,0,0,"Netral"
"batas isi survey prakerja insentif info prakerja gelombang via",1,1,0,1,"Positif"
"update prakerja gelombang fitur baru isi survey kartu prakerja insentif via",1,1,0,1,"Positif"
"kartu prakerja gelombang buka login tips pilih latih link via",0,0,0,0,"Netral"
"isi survei evaluasi kartu prakerja insentif saldo latih prakerja cair via",2,2,0,2,"Positif"
"bukan cuma prakerja via login daftar lengkap bansos rencana via",2,1,1,0,"Netral"
"login ganggu hubung call center prakerja baru jadwal gelombang buka via",0,0,0,0,"Netral"
"insentif prakerja proses jadwal arti cair cek isi survey via",2,2,0,2,"Positif"
"jelang daftar kartu prakerja gelombang login batas desember via",0,0,0,0,"Netral"
"login muncul lonceng dashboard kartu prakerja status cair insentif via",2,2,0,2,"Positif"
"isi survey prakerja survey prakerja tidak muncul dashboard via",1,0,1,-1,"Negatif"
"prakerja gelombang buka via login verifikasi email via",0,0,0,0,"Netral"
"saldo latih prakerja cair cek survey dashboard gelombang via",1,1,0,1,"Positif"
"jangan aba arti tanda lonceng lonceng login link daftar prakerja dashboard prakerja via",1,1,0,1,"Positif"
"klik link cek terima blt guru honorer prakerja via",2,1,1,0,"Netral"
"gelombang kartu prakerja buka arti jadwal insentif ecek jadwal via",1,1,0,1,"Positif"
"fitur baru kartu prakerja ramai bahas gambar lonceng dashboard prakerja cek info gelombang via",1,0,1,-1,"Negatif"
"kartu prakerja gelombang buka bocor login tips blacklist via",1,0,1,-1,"Negatif"
"kartu prakerja gelombang buka isi survey prakerja cair insentif via",2,2,0,2,"Positif"
"insentif prakerja tambah cek fakta isi survey prakerja dashboard via",1,1,0,1,"Positif"
"bocor daftar prakerja gelombang buka gembira via",2,1,1,0,"Netral"
"insentif prakerja tambah cek fakta isi survey prakerja dashboard",1,1,0,1,"Positif"
"web prakerja error jadwal insentif prakerja muncul dashboard layar kosong cek insentif via",3,2,1,1,"Positif"
"info prakerja daftar e form bni tabung prakerja login insentif via",1,1,0,1,"Positif"
"prakerja gelombang buka login informasi kck via",0,0,0,0,"Netral"
"kartu prakerja buka isi survei prakerja insentif login via",1,1,0,1,"Positif"
"info baru kartu prakerja gelombang buka login solusi kunjung lolos via",1,1,0,1,"Positif"
"daftar kartu prakerja gelombang buka jadwal download aplikasi tribunnews update berita baru android",0,0,0,0,"Netral"
"bocor daftar kartu prakerja gelombang belum lolos gelombang download aplikasi tribunnews update berita baru android lewat",3,1,2,-1,"Negatif"
"hati kepesertaan kartu prakerja gelombang tidak cabut download aplikasi tribunnews update berita baru android",2,1,1,0,"Netral"
"bocor buka daftar kartu prakerja gelombang gagal gelombang download aplikasi tribunnews update berita baru android lewat",2,0,2,-2,"Negatif"
"insentif kartu prakerja benar tambah syarat daftar isi survei ribu download aplikasi tribunnews update berita baru android",2,2,0,2,"Positif"
"kunjung lolos kartu prakerja simak solusi daftar gelombang download aplikasi tribunnews update berita baru android",1,1,0,1,"Positif"
"bocor informasi kartu prakerja gelombang baik belum lolos download aplikasi tribunnews update berita baru android",4,2,2,0,"Netral"
"bocor kartu prakerja lanjut gelombang tidak gagal daftar download aplikasi tribunnews update berita baru android lewat",3,0,3,-3,"Negatif"
"pandu kartu prakerja gelombang kena blacklist download aplikasi tribunnews update berita baru android",0,0,0,0,"Netral"
"bocor jadwal daftar kartu prakerja gelombang baik gagal gelombang download aplikasi tribunnews update berita baru android lewat",3,1,2,-1,"Negatif"
"bocor daftar kartu prakerja gelombang buka gagal download aplikasi tribunnews update berita baru android lewat",2,0,2,-2,"Negatif"
"baru simak jadwal buka daftar kartu prakerja gelombang download aplikasi tribunnews update berita baru android",0,0,0,0,"Netral"
"jokowi presiden hormat boleh uang sisa saldo latih prakerja tolong berik covid belum semntar tidak kerja lumayan sambung hidup trimakasih jokowi sehat salam",7,4,3,1,"Positif"
"sudah bantu prakerja bpjs blt belum",1,0,1,-1,"Negatif"
"eh amin kalo pns sudah prakerja tidak bsu",1,0,1,-1,"Negatif"
"prakerja mainin minjem ktp orang orang tidak erti duit",1,0,1,-1,"Negatif"
"suami susah banget lolos prakerja",2,1,1,0,"Netral"
"masuuuk sudah prakerja",0,0,0,0,"Netral"
"hubung sudah kartu prakerja tidak bsu cuma share info muehehehe cek bun info gtk nya lumayan",2,1,1,0,"Netral"
"benar pemerintah asih bantu sudah banget prakerja bpjs ketenagakerjaan bsu blt belum ngakalin biar double double",4,3,1,2,"Positif"
"banget tidak lolos prakerja",3,1,2,-1,"Negatif"
"lhaaaa sudah pns kali gadapet bsu ku prakerja gagal ros kzl",1,0,1,-1,"Negatif"
"tidak bantuin benah bantu bikin email daftarin prakerja mantap",2,1,1,0,"Netral"
"prakerja cair nih",1,1,0,1,"Positif"
"halo tokopedia hormat belum sertifikat dashboard prakerja tim skill academi belum ulas tokopedia sudah kelar min",3,1,2,-1,"Negatif"
"halo latih prakerja binus center ingin informasi teman teman sudah beli latih prakerja binus center marketplace belum daftar ulang redeem voucher binus center",2,0,2,-2,"Negatif"
"jadwal daftar kartu prakerja gelombang daftar online klik via",1,0,1,-1,"Negatif"
"info jadwal daftar kartu prakerja gelombang buka lihat via",0,0,0,0,"Netral"
"kartu prakerja gelombang buka update informasi via",0,0,0,0,"Netral"
"insentif kartu prakerja benar tambah ribu syarat daftar isi survei via",2,2,0,2,"Positif"
"jumhur hidayat ampo uang negara kartu prakerja part",0,0,0,0,"Netral"
"tuai kritik a puas program kartu prakerja",3,1,2,-1,"Negatif"
"program kartu prakerja lebih insentif banding latih",2,2,0,2,"Positif"
"kartu prakerja lanjut",0,0,0,0,"Netral"
"program kartu prakerja lanjut harap moeldoko",0,0,0,0,"Netral"
"mohon info prakerja tidak bsu",1,0,1,-1,"Negatif"
"mohon info rekan prakerja tidak blt",1,0,1,-1,"Negatif"
"foto mah nyomot asli sih ngarepin kartu prakerja panggil cuci mobil kalo karyawan cuci tidak kerja nyerep nyerep kali deh lumayan tunggu kartu prakerja",4,3,1,2,"Positif"
"sopir pribadi cari kartu prakerja",0,0,0,0,"Netral"
"komplain salur unggah cukup uangkapan terimakasih program kartu prakerja lewat sekal sukur program jokowi",4,2,2,0,"Netral"
"saldo ovo buk kosong mulu bikin rencana prakerja eh tidak tembus tembus",2,0,2,-2,"Negatif"
"info baru moeldoko kait program kartu prakerja arah presiden joko widodo",0,0,0,0,"Netral"
"yeng lulus prakerja sudah boleh kerja monggo absen",2,2,0,2,"Positif"
"nyata jokowi miskin tumbuh subur kartu prakerja redam laju anggur indonesia",3,1,2,-1,"Negatif"
"bantu cuma enggak prakerja enggak liat bumn enggak ndremis ah kuat kerja",6,2,4,-2,"Negatif"
"untung tidak bilang prakerja harus buzzer",3,1,2,-1,"Negatif"
"subsidi prakerja alangkah lebih kemnaker lebih training free latih skill daftar kerja bukan training hidup uang",5,5,0,5,"Positif"
"kartu prakerja tutup mulut",0,0,0,0,"Netral"
"kartu prakerja cipta kerja",1,1,0,1,"Positif"
"presiden nya butuh prakerja tidak kerja",2,1,1,0,"Netral"
"insentif prakerja tambah",1,1,0,1,"Positif"
"moeldoko target latih prakerja gelar offline",0,0,0,0,"Netral"
"daftar kartu prakerja gelombang baru buka",0,0,0,0,"Netral"
"moeldoko prakerja komplain",1,0,1,-1,"Negatif"
"survei bps kartu prakerja tingkat terampil terima",4,3,1,2,"Positif"
"teriak hoetang hoetang kalo kuliah pakai bidikmisi rumah jilat duit blt ngarepin duit prakerja tidak deh teriak hoetang hoetang negara bayarin pajak bolos",5,0,5,-5,"Negatif"
"pagi pagi sudah sms banking dana prakerja sudah cair nyata alhamdulillah",2,2,0,2,"Positif"
"daftar prakerja gelombang daftar kudu sabar banget gabung gelembang coba gelombang lolos gelombang alhamdulillah rezeki tidak",5,3,2,1,"Positif"
"konsep digitalisasi kartu prakerja pola baru layan birokrasi",0,0,0,0,"Netral"
"selamat pagi skill academy status sertifikat sudah lapor tokopedia tanggal november sudah rating ulas status belum muncul didashboard prakerja",2,1,1,0,"Netral"
"akun prakerja",0,0,0,0,"Netral"
"bukan kirim banget o daftar prakerja tolak sedih",1,0,1,-1,"Negatif"
"prakerja tuh",0,0,0,0,"Netral"
"pemerintah putus lanjut program kartu prakerja",1,0,1,-1,"Negatif"
"sakernas gelar bps temu program kartu prakerja temu",0,0,0,0,"Netral"
"subsidi gaji otoritas bendahara catat program kartu prakerja tanggal november capai realisasi triliun jangkau",2,2,0,2,"Positif"
"daftar kartu prakerja gelombang dokumen wajib daftar offline",0,0,0,0,"Netral"
"daftar kartu prakerja online offline daftar gelombang buka",0,0,0,0,"Netral"
"saldo kartu prakerja cair gelombang buka",1,1,0,1,"Positif"
"daftar gelombang buka daftar kartu prakerja offline",0,0,0,0,"Netral"
"link download permenaker nomor atur daftar kartu prakerja offline",0,0,0,0,"Netral"
"daftar kartu prakerja gelombang laku offline",0,0,0,0,"Netral"
"login dashboard prakerja cek saldo intensif atm bni ovo link gopay",0,0,0,0,"Netral"
"dokumen daftar kartu prakerja offline gelombang buka",0,0,0,0,"Netral"
"contoh formulir daftar kartu prakerja harus isi daftar offline",1,1,0,1,"Positif"
"update info kartu prakerja daftar offline buka gelombang",0,0,0,0,"Netral"
"info baru daftar kartu prakerja gelombang buka",0,0,0,0,"Netral"
"daftar kartu prakerja online info baru gelombang",0,0,0,0,"Netral"
"tidak marah nya email verifikasi kartu prakerja sudah kirim tanggal oktober bukan masuk kontak masuk email masuk spam gila daftar nyata masuk spam pantesan tidak baca asu",5,0,5,-5,"Negatif"
"moeldoko kartu prakerja pola baru layan birokrasi",0,0,0,0,"Netral"
"survei bps mayoritas terima kartu prakerja laki laki usia muda tinggal kota download aplikasi tribunnews update berita baru android via",2,2,0,2,"Positif"
"program kartu prakerja lanjut terima tidak via",2,1,1,0,"Netral"
"tunggu progam prakerja",0,0,0,0,"Netral"
"sih harap kartu prakerja",0,0,0,0,"Netral"
"sudah selesa latih belum",1,0,1,-1,"Negatif"
"sisa prakerja",0,0,0,0,"Netral"
"menteri koordinator bidang ekonomi imbau program kartu prakerja selesa latih berik",0,0,0,0,"Netral"
"bahas uu prakerja",0,0,0,0,"Netral"
"idam latih front end gratis dicoding via prakerja eh dicodingnya hilang menu",1,1,0,1,"Positif"
"lelah urus prakerja close belum selesai",3,0,3,-3,"Negatif"
"kartu prakerja",0,0,0,0,"Netral"
"kalo demo prakerja positif tidak kakak",3,1,2,-1,"Negatif"
"demo prakerja kerumun bong",1,0,1,-1,"Negatif"
"tips pilih latih program kartu prakerja",0,0,0,0,"Netral"
"tips lolos terima program kartu prakerja",2,2,0,2,"Positif"
"kartu prakerja subsidi gaji blt termin lewat",1,1,0,1,"Positif"
"bni suka telat termin ambil jatah sih sudah mah prakerja bansos pkh bsu bingung transfer",3,2,1,1,"Positif"
"bni rakus program pemerintah ambil bsu prakerja pkh umkm bansos kemensos bingung",2,1,1,0,"Netral"
"by the way pas tanggal lolos masuk tahap prakerja tahap prakerja tanggal tanggal nov badan tidak beres drop banget masuk kerja kepala bapil tenggorok tidak rasai makan",4,2,2,0,"Netral"
"daftar kartu prakerja gelombang buka",0,0,0,0,"Netral"
"e i mbak pas tanggal muda opomane pas habis cair dana prakerja",4,3,1,2,"Positif"
"joki prakerja",0,0,0,0,"Netral"
"oke lebih sekal istirahat jaga sehat kerja kafe unjung saran coba mama daftarin prakerja deh syarat gampang kak",4,3,1,2,"Positif"
"kalo bingung prakerja nder tau bantu",1,0,1,-1,"Negatif"
"mmf salah web harus",1,0,1,-1,"Negatif"
"nyata jokowi miskin tumbuh subur kartu prakerja redam laju anggur indonesia",3,1,2,-1,"Negatif"
"halo min kalo bikin tabung prakerja harus lolos prakerja bikin tunggu lolos",2,2,0,2,"Positif"
"tau harap blt prakerja kadrun biar bukti",0,0,0,0,"Netral"
"kaget ngisi ovo ku eh insentif prakerja",1,1,0,1,"Positif"
"sudah kartu prakerja omnibus law naik mapah hutang naik australia jerman",3,2,1,1,"Positif"
"teman ku banget asli sudah usaha story libur eh ngemis ngemis ngakunya pas tunggu prakerja tunggu bantu umkm story nya heboh",1,1,0,1,"Positif"
"bantu orang kartu bpjs kartu prakerja kartu keluarga cuman ktp tidak tidak mohon respon",2,0,2,-2,"Negatif"
"bahagia mudah batas prakerja usaha slow",2,2,0,2,"Positif"
"program kartu prakerja tingkat terampil kerja terima ekonomi bukti hasil",5,4,1,3,"Positif"
"belum bang gagal mulu belum prakerja",3,0,3,-3,"Negatif"
"tolak rezim prakerja",0,0,0,0,"Netral"
"duit prakerja biaya duit prakerja modal usaha duit prakerja didik duit prakerja jalan jalan",0,0,0,0,"Netral"
"pemerintah catat terima kartu prakerja capai orang daftar",1,1,0,1,"Positif"
"terima kartu prakerja rancam insentif",2,2,0,2,"Positif"
"program kartu prakerja lanjut pemerintah anggar triliun",0,0,0,0,"Netral"
"hujan kritik mayoritas manfaat kartu prakerja",2,1,1,0,"Netral"
"survei bps daya tarik utama kartu prakerja",2,2,0,2,"Positif"
"moeldoko digitalisasi kartu prakerja pola baru birokrasi",0,0,0,0,"Netral"
"prakerja gelombang buka via login link daftar download aplikasi tribunnews update berita baru android via",0,0,0,0,"Netral"
"jangan lupa orang militan nomor prakerja",1,0,1,-1,"Negatif"
"fitur baru dashboard akun kartu prakerja cek isi survey evaluasi insentif ribu via",1,1,0,1,"Positif"
"program kartu prakerja lanjut henti gelombang download aplikasi tribunnews update berita baru android via",0,0,0,0,"Netral"
"saldo latih kartu prakerja cair sambung rekening bank akun cek",1,1,0,1,"Positif"
"trik lolos daftar kartu prakerja gelombang batch i buka cek detail",1,1,0,1,"Positif"
"fitur baru dashboard akun kartu prakerja cek isi survey evaluasi insentif ribu",1,1,0,1,"Positif"
"benar insentif kartu prakerja tambah kali cek fakta lihat isi survey dashboard akun",2,2,0,2,"Positif"
"orang sudah terima kartu prakerja",1,1,0,1,"Positif"
"muka ku tonton video materi salah mitra prakerja",1,0,1,-1,"Negatif"
"benar kartu prakerja manfaat simak hasil survei bps",2,2,0,2,"Positif"
"bps beber temu tarik kartu prakerja",1,1,0,1,"Positif"
"survei bukti kartu prakerja a puas",2,1,1,0,"Netral"
"kartu prakerja terobos birokrasi transparan",1,1,0,1,"Positif"
"duh insentif kartu prakerja rancam hangus desember",1,1,0,1,"Positif"
"tau gelombang daftar prakerja buka",0,0,0,0,"Netral"
"guyss prakerja ngalamin ganggu tidak pas beli latih tkpd smalam",1,0,1,-1,"Negatif"
"guyss latih prakerja tidak cek insentif web prakerjanya sudah sertif bantuin solusi",2,1,1,0,"Netral"
"sedih tangis takut belum kerja kali interview tidak lolos hidup jalan uang nipis gantung prakerja bukan tidak syukur butuh tidak",11,3,8,-5,"Negatif"
"luncur april latih online program kartu prakerja kerap kritik kalangan pemerintah via",1,0,1,-1,"Negatif"
"kartu prakerja harus selesa latih belum desember",1,0,1,-1,"Negatif"
"kartu prakerja nilai redam laju anggur indonesia",1,0,1,-1,"Negatif"
"terima kartu prakerja capai orang",1,1,0,1,"Positif"
"survei bps persen kartu prakerja sudah kerja",1,1,0,1,"Positif"
"kartu prakerja butuh inovasi digitalisasi layan publik indonesia",1,1,0,1,"Positif"
"program kartu prakerja prakerja gelombang buka",0,0,0,0,"Netral"
"gambar lonceng halaman dashboard kartu prakerja ramai bicara warganet media sosial",2,1,1,0,"Netral"
"simak agam berita warna laman tren kamis jumat pagi",0,0,0,0,"Netral"
"sudah kartu prakerja nyata cukup laju anggur indonesia",3,1,2,-1,"Negatif"
"persen kartu prakerja nyata status sudah kerja turun jam kerja kurang",4,2,2,0,"Netral"
"pemerintah dorong digitalisasi sistem layan publik digital salah kartu prakerja",1,0,1,-1,"Negatif"
"kartu prakerja belum selesa latih desember",1,0,1,-1,"Negatif"
"program kartu prakerja gulir april daftar terima",1,1,0,1,"Positif"
"terima tidak selesa latih status kepesertaan kartu prakerja cabut",2,1,1,0,"Netral"
"pemerintah lanjut program kartu prakerja",0,0,0,0,"Netral"
"terima program kartu prakerja daftar",1,1,0,1,"Positif"
"selamat malam jadwal webinar live session khusus kartu prakerja sukses design web cek tiket nya sudah tidak mohon bantu terimakasih",6,4,2,2,"Positif"
"min orang jawa heker tuyul tuh prakerja",1,1,0,1,"Positif"
"dongkrak daya beli kartu prakerja lanjut",0,0,0,0,"Netral"
"buka prakerja gelombang bocor",1,0,1,-1,"Negatif"
"moeldoko bicara prakerja belum pandemi covid",3,0,3,-3,"Negatif"
"buru login daftar latih kartu prakerja hangus",0,0,0,0,"Netral"
"ksp daftar kartu prakerja beludak",0,0,0,0,"Netral"
"hasil survei bps kartu prakerja tingkat terampil kerja terima",5,4,1,3,"Positif"
"neo harap program kartu prakerja lanjut",0,0,0,0,"Netral"
"kartu prakerja tingkat kualitas sdm",1,1,0,1,"Positif"
"manfaat tingkat terampil kerja insentif kartu prakerja butuh hidup",6,5,1,4,"Positif"
"pemerintah kartu prakerja selesa latih ingin uang insentif cair",2,2,0,2,"Positif"
"kartu prakerja lebih insentif timbang latih",2,2,0,2,"Positif"
"kalo kakak sudah ktp coba daftar kartu prakerja kak kakak latih modal usaha semangat kak",1,1,0,1,"Positif"
"kelas lean startup latih kartu prakerja by the way bahas kena dnvb",0,0,0,0,"Netral"
"mohon maaf admin sudah selesa kelas tanggal oktober status dasbord prakerja aktif mohon bantu mohon tindak lanjut terima kasih",3,3,0,3,"Positif"
"rekan sudah isi survey prakerja submit hasil muat ulang tidak disubmit min",2,0,2,-2,"Negatif"
"pandemi bikin kartu prakerja insentif banding latih",2,1,1,0,"Netral"
"curiga prakerja",1,0,1,-1,"Negatif"
"laku tambah uang bayar cicil gadai bpkb motor belum nutup nglunasin hutang bantu pemerintah tidak prakerja daftar tidak lolos prioritas kena phk",7,1,6,-5,"Negatif"
"tidak sudah prakerja kemenaker tidak",2,0,2,-2,"Negatif"
"pilih tunggu kuota prakerja sihir buka klinik ahli sihir pinggir jalan bengkel sapu terbang",3,3,0,3,"Positif"
"program kartu prakerja lanjut",0,0,0,0,"Netral"
"alhamdulillah puas dukung prakerja dukung pemerintah",3,2,1,1,"Positif"
"kemenko ekonomi kartu prakerja belum selesa latih susiwijono imbau kartu prakerja selesa latih insentif sudah janji pemerintah",3,2,1,1,"Positif"
"survei bps persen kartu prakerja giur insentif survei angkat kerja nasional sakernas agustus bps catat persen terima kartu prakerja selesa latih atak program tingkat sih a",5,5,0,5,"Positif"
"ruzam rezim gilir bansos prakerja duluan daftar",1,1,0,1,"Positif"
"teknologi bidang teknologi latih minat prakerja tenaga kerja bidang masuk cari usaha uang gaji sedia kelas programming cisco editing audio",1,1,0,1,"Positif"
"gembira terima bantu prakerja utama gelombang sudah selesai latih nya jadwal insentif gratis kuota internet up gb skill academy tanggal november",4,4,0,4,"Positif"
"reminder tinggal pakai saldo prakerja saldo prakerja hangus nih sayang banget sudah biaya latih skill gratis nilai tidak pakai",3,2,1,1,"Positif"
"hai terima kartu prakerja pengin bikin usaha muda aduh sudah umur gin tidak bikin usaha",3,2,1,1,"Positif"
